Stock,dep,Year ESH,F/F[MSY],SPR[eq],SPR[dyn],n
(1) SNE yellowtail flounder,0.03,2005,2.83,0.24,0.2,1
(2) GoM Red Snapper,0.04,1990,1.72,0.06,0.04,2
(3) SA gag grouper,0.04,2019,2.27,0.11,0.1,3
(4) NAFO plaice,0.05,1994,Inf,0.16,0.09,4
(5) NAFO cod,0.08,1994,4.49,0.07,0.06,5
(6) NE Acadian redfish,0.11,1976,4.24,0.17,0.22,6
(7) WCVI Pacific herring,0.11,2005,0.62,0.61,0.62,7
(8) NAtl swordfish,0.15,1999,1.12,0.22,0.17,8
(9) US darkblotched rockfish,0.17,2003,0.38,0.63,0.26,9
(10) NEA horse mackerel,0.24,2020,1.28,0.46,0.31,10
(11) Atlantic bigeye tuna,0.25,2018,0.93,0.37,0.3,11
(12) SCB cowcod,0.25,2000,0.07,0.92,0.34,12
(13) SA red porgy,0.36,1992,3.62,0.38,0.33,13
(14) sGSL herring,0.39,2002,1.94,0.69,0.6,14
(15) GM cod,0.45,2005,2.44,0.25,0.23,15
(16) sGSL cod,0.67,1993,2.1,0.9,0.53,16
