Stock,F/F[MSY],SPR[eq],SPR[dyn],SB/SB[MSY],"SB/SB[0,eq]","SB/SB[0,dyn]",SB/SB[recover],SB/SB[lowSP],SB/SB[0.5Rmax],SB/SB[0.9R/S],dep,code,Year ESH,n,Stock2
NAtl~swordfish,1.12,0.22,0.17,0.69,0.15,0.15,NA,NA,2.6,0.78,0.15,ICCAT_SWO,1999,8,"""(8)""~NAtl~swordfish"
GoM~Red~Snapper,1.72,0.06,0.04,0.12,0.02,0.03,NA,NA,9.35,0.65,0.04,GoM_RS,1990,2,"""(2)""~GoM~Red~Snapper"
NE~Acadian~redfish,4.24,0.17,0.22,0.31,0.11,0.11,NA,0.85,0.35,0.98,0.11,NE_redfish,1976,6,"""(6)""~NE~Acadian~redfish"
SNE~yellowtail~flounder,2.83,0.24,0.2,0.03,0.01,0.01,0.41,0.41,0.04,0.18,0.03,sne_yt,2005,1,"""(1)""~SNE~yellowtail~flounder"
SA~red~porgy,3.62,0.38,0.33,0.61,0.25,0.17,NA,NA,0.36,0.69,0.36,SA_RedPorgy,1992,13,"""(13)""~SA~red~porgy"
SCB~cowcod,0.07,0.92,0.34,0.89,0.25,0.25,0.46,NA,2.28,0.94,0.25,SCB_cowcod,2000,12,"""(12)""~SCB~cowcod"
NEA~horse~mackerel,1.28,0.46,0.31,0.61,0.24,0.19,0.24,NA,0.74,0.47,0.24,NEA_hom,2020,10,"""(10)""~NEA~horse~mackerel"
US~darkblotched~rockfish,0.38,0.63,0.26,0.62,0.17,0.21,NA,NA,1.6,0.65,0.17,WC_darkblotched,2003,9,"""(9)""~US~darkblotched~rockfish"
sGSL~cod,2.1,0.9,0.53,9.63,4.72,0.36,0.91,0.85,0.52,0.61,0.67,sGSL_cod,1993,16,"""(16)""~sGSL~cod"
sGSL~herring,1.94,0.69,0.6,2.11,1.01,0.59,1.16,0.93,2.24,0.98,0.39,sGSL_herring,2002,14,"""(14)""~sGSL~herring"
NAFO~plaice,Inf,0.16,0.09,Inf,Inf,0.02,0.11,0.42,0.03,0.07,0.05,NAFO_plaice,1994,4,"""(4)""~NAFO~plaice"
NAFO~cod,4.49,0.07,0.06,0.01,0.01,0.01,0.61,0.17,0.03,0.09,0.08,NAFO_cod,1994,5,"""(5)""~NAFO~cod"
GM~cod,2.44,0.25,0.23,0.61,0.22,0.12,1.57,1.58,1.13,1.13,0.45,GoM_cod,2005,15,"""(15)""~GM~cod"
Atlantic~bigeye~tuna,0.93,0.37,0.3,0.83,0.25,0.26,NA,NA,3.71,0.88,0.25,ICCAT_BET,2018,11,"""(11)""~Atlantic~bigeye~tuna"
WCVI~Pacific~herring,0.62,0.61,0.62,1.29,0.42,0.51,0.5,1,1.11,0.24,0.11,WCVI_herring,2005,7,"""(7)""~WCVI~Pacific~herring"
SA~gag~grouper,2.27,0.11,0.1,0.19,0.04,0.04,0.27,0.2,1.38,0.2,0.04,SA_gag,2019,3,"""(3)""~SA~gag~grouper"
