Stock,dep,code,Year ESH,n,Stock2
SNE~yellowtail~flounder,0.03,sne_yt,2005,1,"""(1)""~SNE~yellowtail~flounder"
GoM~Red~Snapper,0.04,GoM_RS,1990,2,"""(2)""~GoM~Red~Snapper"
SA~gag~grouper,0.04,SA_gag,2019,3,"""(3)""~SA~gag~grouper"
NAFO~plaice,0.05,NAFO_plaice,1994,4,"""(4)""~NAFO~plaice"
NAFO~cod,0.08,NAFO_cod,1994,5,"""(5)""~NAFO~cod"
NE~Acadian~redfish,0.11,NE_redfish,1976,6,"""(6)""~NE~Acadian~redfish"
WCVI~Pacific~herring,0.11,WCVI_herring,2005,7,"""(7)""~WCVI~Pacific~herring"
NAtl~swordfish,0.15,ICCAT_SWO,1999,8,"""(8)""~NAtl~swordfish"
US~darkblotched~rockfish,0.17,WC_darkblotched,2003,9,"""(9)""~US~darkblotched~rockfish"
NEA~horse~mackerel,0.24,NEA_hom,2020,10,"""(10)""~NEA~horse~mackerel"
Atlantic~bigeye~tuna,0.25,ICCAT_BET,2018,11,"""(11)""~Atlantic~bigeye~tuna"
SCB~cowcod,0.25,SCB_cowcod,2000,12,"""(12)""~SCB~cowcod"
SA~red~porgy,0.36,SA_RedPorgy,1992,13,"""(13)""~SA~red~porgy"
sGSL~herring,0.39,sGSL_herring,2002,14,"""(14)""~sGSL~herring"
GM~cod,0.45,GoM_cod,2005,15,"""(15)""~GM~cod"
sGSL~cod,0.67,sGSL_cod,1993,16,"""(16)""~sGSL~cod"
